COMPANY_NAME,COMPANY_IBAN
Demizz,FR81 1812 1017 96WB TUEG UMLG 607
DabZ,IS41 9278 4282 5821 6934 6357 27
Buzzshare,AT46 7429 0528 9791 0201
Rhybox,CY76 8838 2749 PXR0 EZ0T 4L6E MGRL
Yakitri,CH24 0550 3S44 O0ME 7XJT D
Twitterworks,CY97 0134 2334 2VRP Y2TX 1NSH CX1H
Zoomdog,TN86 0067 2500 8920 9011 9872
Photojam,AT14 3113 2350 6096 5832
Feedfish,SK94 9276 3336 3321 8896 7339
Rhyzio,BE12 4712 6947 2955
Gigazoom,GT58 PDCI WMOW 7YOX ISIU GXNK W6XX
Plambee,GE77 LM09 7995 9496 4312 82
Tagpad,AZ83 VNLF V9CK 8NH3 XZYJ RVYP FISG
Flashset,SM08 Z455 7692 593Y IBUW RZUH XOB
Agimba,TN90 1796 3594 0366 8672 9648
JumpXS,FO52 6027 0142 3202 00
Skipfire,FR47 8769 1870 31CK 223Y GCXK V43
Gevee,FR23 6525 2046 972L FWZ0 5W5E K76
Avaveo,LI85 8066 2M36 FNFU 0VC9 T
Twitterbeat,KW21 YSFJ 5KQG EXYF 663I M3ZM BFLH IC
Jaxbean,FI12 6969 1866 8519 57
Oloo,FR41 2644 7162 450W V5XA YYCA 318
Tavu,FR97 5130 7186 94D9 CD2B IXLK C64
Zoozzy,IS19 7161 3937 9909 6841 3428 65
Gigaclub,FR60 7294 4210 29MG NHVG OPPI W92
Leexo,FR15 8832 2882 01JK X8ZF NIYF 284
Mybuzz,FR82 1943 3448 43RR CB3K OLB1 I93
Gevee,DE94 3245 7277 2252 2472 86
Vitz,FR98 6701 2093 0559 LIR7 XKRH K59
Pixoboo,BA22 9428 3098 6200 9518
Izio,MK12 8781 ZWN5 R0ED C37
Skinte,FR73 7411 3650 94KW 6V12 WG8F F77
Browsebug,BR63 3350 3106 1863 4342 3551 399Z T
Dabjam,TR93 5751 6NOS AFKI ULQ0 YURO 83
Ntags,TR54 4256 7VKL TGZ4 FBH1 EA0C XF
Mita,TN36 0950 5985 3610 7166 6167
Plajo,SK88 6317 4223 0024 4080 5712
Youtags,KZ66 624R VM4F DGRJ B5KA
Realbridge,SE67 7951 7150 7733 3242 8952
Quaxo,KZ36 1413 KW80 JBLX TCL4
Yotz,MR59 9244 6243 8816 1953 7887 024
Realmix,AL37 8174 7837 MVGY ZJMQ 3YAA CJVS
Bluejam,AT19 4562 1229 2527 3155
Digitube,FR19 0150 8009 72IJ CYTG KVHW U48
Fatz,FR60 3717 6757 33DM W36V HH2N 402
Aimbu,FR35 9129 9825 16ET MWPV HHKR Z97
Babbleblab,MK37 126C ESEY D6OK U65
Blognation,EE06 6496 6088 7353 0331
Twimm,RO79 NQYE G9TL OTGJ INMI AL9C
Jabbersphere,SA11 37YK KKIP 06L0 KKCK RN1E
Mydo,FR27 2789 2369 29DK IM1X 7BWV 919
Jaloo,FO53 1399 5834 3027 69
Lajo,GE37 OA59 3483 5970 3615 14
Feedfire,BH42 DVXO 2NBH W7A0 IWBC JL
Katz,AZ50 IODF 9PRJ NU39 ROZL YHS1 0FNT
Centimia,AD81 9979 5439 ZRFL JVD3 UAOF
Shuffledrive,NO83 7701 6943 477
Thoughtbridge,FR12 2666 1360 32DO TN3A XDBX 967
Rhynyx,FR34 2676 5799 730W WX0F 87UI U38
Browsetype,FR18 4991 6754 69SM V3ZX NRHM 122
Jaloo,VG39 UQSJ 0602 8676 9339 7994
Dynazzy,LI61 9820 1WZY BU6I HTI5 Q
Skipfire,FO06 7694 7776 5845 75
Minyx,RS95 6061 2777 3986 9506 85
Skynoodle,HR77 4847 2814 6818 3662 8
Devshare,IL81 9816 5933 1090 3003 095
Miboo,DE16 2067 0046 4122 2589 63
Brightbean,PK85 RHLG YJKM VKZS RL1T JWFE
Jabbersphere,FR44 2453 0699 72SF FGYU IMSM K86
Snaptags,DE15 5471 9937 2611 9426 55
Jazzy,MR28 1734 1347 5939 8863 8929 925
Feedspan,ME03 6083 7643 8932 5068 51
Aivee,GL40 8306 5654 3461 68
Dablist,DK43 8017 7643 5525 22
Quimm,LT34 8841 7448 7728 2420
Bubblemix,TN67 4567 4367 2406 0980 6044
Gigaclub,ME52 5605 5596 2021 9452 73
Thoughtmix,AT02 4478 4351 9298 3755
Wikivu,BR13 2242 9928 9396 6535 2883 264N I
Gabvine,EE95 4775 8810 0424 1445
Trunyx,SI24 8645 6409 4440 839
Eimbee,IL61 4053 2572 0798 9457 698
Voonder,EE46 7152 2627 1692 5840
Wordtune,IE25 PLUS 4005 1155 5972 77
Wordtune,ME96 5211 3310 5907 7935 87
Twitternation,NO22 8991 1243 621
Trupe,ES04 9916 1143 1784 1048 2160
Riffpath,MD27 FKNS ECOA Z1AT L0GV KXZZ
Demimbu,BH15 ZEFL BUES 1NZD QZUU UY
Flipbug,FO62 4089 2762 2099 94
Zava,CY56 6537 5256 DNXM BJKJ YKTF XTOC
Skipstorm,SI78 5284 0900 6645 703
Vinder,FR37 8609 9319 96VT PNY6 I8KG V75
Thoughtmix,CZ16 6228 5579 1447 4880 6308
Podcat,FR22 1526 5576 22QQ 2HLP VLOH Y39
Eimbee,BE66 6156 9377 7388
Eare,MT53 EZCX 4241 8OPI J7NQ OHUU ORUJ 0YF
Bubblemix,SM52 J662 8077 730N 8TXS U1VI A8K
Demizz,CY07 2288 8409 46KJ BBR5 X2QN IRM4
Youbridge,AD51 2213 2846 L1FK 1KJO CLUI
Teklist,FR36 6693 2309 63RA I2FW GMYW L44
Realcube,DK82 7456 1369 4632 36
Jetpulse,LV87 HZEH KYC3 39AH 9LIR X
Buzzshare,IL93 8316 3125 6230 8713 405
Wikibox,FR51 2736 9139 76F5 5URW DMUJ O65
Browsetype,FR95 9674 3431 00U7 K9GB RTCJ A48
Plajo,MC46 6667 2132 41KM 3TRG 8U9K C96
Yodel,GI66 TEOK COOQ G28J I6P1 MBE
Thoughtstorm,GE91 PC55 8722 3622 2710 16
Chatterbridge,DE69 4197 5459 4444 9015 22
Latz,EE21 7698 5300 3608 5775
Vimbo,BR86 2760 3840 8714 7471 8602 155D P
Gigazoom,PS87 OIJN ZHZM NRTQ BE7S FLPM PXYB J
Feedfire,RS02 6663 4646 5685 1997 38
Edgewire,ES60 1272 0532 4093 4254 5263
Topdrive,BR02 8880 5282 7873 0668 4408 308S B
Eamia,AT31 3345 5844 0749 4057
Wikido,FR77 6769 8166 32L8 1IAL DXDF 214
Camido,LT28 8833 1875 6788 1081
Bubbletube,LI09 0144 4III BGPZ BTA3 P
Kazio,PS16 MOVL ECQZ TVKJ NRIJ 0IVW NIDP A
Leenti,SI72 5044 6136 1417 699
Mynte,FR61 3980 5863 9099 XENJ QU1Q Z34
Ntags,IT36 O713 0307 132K NMLI CNXL SUO
Jetpulse,AE21 0581 7069 9028 8458 147
Cogidoo,PK89 OFQX HNAF BA2D UFZA 3Q8Q
Topicstorm,MD13 A6NB S1YB NK7L IZW2 NYPU
Zoomzone,GB34 OLWC 5708 4389 3573 08
Nlounge,GB31 YUQP 4539 8916 2855 22
Trilia,AL11 8725 2846 WHOX ROTT 6R2E TNSR
Gigashots,AD86 9958 7606 MSOJ XJAM NSKM
Npath,MK60 012X A2P7 1GBG S86
Zoomlounge,ES22 6235 8129 1295 9323 8076
Oyonder,FR07 3118 8855 61FJ BOTT DFEY Q08
Avamba,VG23 GFWO 8635 6641 9238 0716
Browsezoom,LI60 2500 8A6D S8FF SOM3 I
Livetube,DK88 4731 5467 5655 47
Jabbersphere,SI39 6576 3335 1521 174
Leexo,GL32 6680 5211 1908 88
Twimm,SK52 4666 3379 7163 3435 4104
Dynazzy,LT52 1169 0375 6996 5188
Blognation,FR43 8039 6283 85CC RG2M H5DW M82
Voomm,BG35 AYJX 9964 19JR X6NP W1
Avavee,BE09 5361 6500 1508
Browsetype,ME73 6675 2447 4717 1495 59
Topicshots,LV82 BYPM 2DTA OLMW QJBR J
Dynabox,CH75 3565 0E8R FSJE CHUI V
Zoomlounge,AE87 9069 1410 6476 4133 715
Zooveo,IE66 MEOO 4100 9505 9464 65
Blognation,HR11 5915 8642 7360 2832 5
Thoughtbeat,MT47 ZVON 9811 2RMY LYVT QDUO HLRA YQU
Oyope,FR14 5405 2898 72LC RXFN DWDQ D24
Oyoloo,FR15 6136 8924 69Q5 PB9Z 8UEW U90
Eimbee,LB84 7988 XUVN SRNN 7BOO EYA2 3RT3
Tagcat,FR42 2162 2671 06UH 2ZMZ K9F3 B99
Cogibox,RO74 SRAR LRQP DKHI PHJ0 NZNI
